"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"14620000";"BOA VISTA";2025-10-22 12:30:00;2025-10-22 11:30:00;2025-10-22 10:30:00;160;-5;-46;-33;-34;0;27,6;"BRANCO";117;;"2011";199;36;454;"30%-40%";
"14710000";"CARACARAI";2025-10-22 13:15:00;2025-10-22 12:15:00;2025-10-22 11:15:00;261;-7;-69;-32;-23;0;17;"BRANCO";174;;"2011";226,5;63;511;"60%-70%";
"14489000";"MARACA";2025-10-22 12:45:00;2025-10-22 11:45:00;2025-10-22 10:45:00;503;6;-24;-34;-67;0;0;"URARICOERA";418;;"2021";470;388;699;"70%-80%";
"14495000";"FAZENDA CAJUPIRANGA";2025-10-22 13:15:00;2025-10-22 12:15:00;2025-10-22 11:15:00;580;7;-21;-32;-54;1,4;2,2;"URARICOERA";513;;"2021";559,5;454;777;"60%-70%";
"14515000";"FAZENDA PASSARAO";2025-10-22 12:30:00;2025-10-22 11:30:00;2025-10-22 10:30:00;675;1;-32;-37;-44;0;16,8;"URARICOERA";617;;"2011";668;537;957;"50%-60%";
"14527000";"PONTE DO TACUTU";2025-10-22 08:30:00;2025-10-22 07:30:00;2025-10-22 06:30:00;464;-13;-44;;;0;0;"TACUTU";460;;"2011";526;388;643;"40%-50%";
"14530000";"VILA SURUMU";2025-10-22 09:00:00;2025-10-22 08:00:00;2025-10-22 07:00:00;375;22;;-29;;0;58,2;"SURUMU";306;;"2022";318;251;490;"80%-90%";
"14680001";"FE E ESPERANCA";2025-10-22 12:30:00;2025-10-22 11:30:00;2025-10-22 10:30:00;327;16;21;-19;19;4,8;31,2;"MUCAJAÍ";229;;"1976";278;185;391;"80%-90%";
"14690000";"MUCAJAI";2025-10-22 12:30:00;2025-10-22 11:30:00;2025-10-22 10:30:00;1100;6;-1;-17;12;0,6;4,8;"MUCAJAÍ";934;;"2011";1010,5;855;1276;"80%-90%";
"14100000";"Manacapuru";2025-10-22 12:15:00;2025-10-22 11:15:00;2025-10-22 10:15:00;1044;-9;-73;-165;-270;0;1,8;"SOLIMOES";242;;"2021";878;238;1387;"70%-80%";
"14320001";"São Gabriel da Cachoeira";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;
"14400000";"Tapuruquara";2024-10-22 16:45:00;2024-10-22 15:45:00;2024-10-22 14:45:00;193;;;;;0;0;"NEGRO";;;;;;;;
"14420000";"Serrinha";2025-10-22 12:30:00;2025-10-22 11:30:00;2025-10-22 10:30:00;634;-5;-17;-10;-62;0,2;20,2;"NEGRO";456;;"2019";669;408;823;"40%-50%";
"14480002";"Barcelos";2025-10-22 13:00:00;2025-10-22 12:00:00;2025-10-22 11:00:00;400;-1;-4;-47;-120;0,2;52,6;"NEGRO";241;;"2022";407;174;611;"40%-50%";
"14540000";"FAZENDA BANDEIRA BRANCA";2025-10-22 12:45:00;2025-10-22 11:45:00;2025-10-22 10:45:00;272;108;102;36;115;41,4;52,6;"COTINGO";209;;"2011";175;114;311;"80%-90%";
"14558000";"FAZENDA PARAISO";2025-10-22 13:00:00;2025-10-22 12:00:00;2025-10-22 11:00:00;533;16;-30;-11;2;12;12,4;"TACUTU";520;;"2017";525,5;446;688;"56%-67%";
"14790000";"SANTA MARIA DO BOIAÇU";2025-10-22 13:00:00;2025-10-22 12:00:00;2025-10-22 11:00:00;645;-12;-25;12;27;0;3;"BRANCO";468;;"2011";567;316;877;"70%-80%";
"14840000";"MOURA";2025-10-22 09:00:00;2025-10-22 08:00:00;2025-10-22 07:00:00;629;-5;-57;;-259;17,8;30;"NEGRO";367;;"2022";567,5;245;818;"50%-60%";
"14990000";"Manaus";2025-10-22 12:45:00;2025-10-22 11:45:00;2025-10-22 10:45:00;1964;-10;-79;-173;-289;0;13,4;"NEGRO";;;"2012";1820;1378;2360;"70%-80%";
