"Codigo";"Latitude";"Longitude";"Area";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI";"Atencao";"Alerta";"Inunda";"Status"
10100000;-4,235;-69,945;874000;"Tabatinga";2025-10-29 18:15:00;2025-10-29 17:15:00;2025-10-29 16:15:00;576;;;118;163;0;14,8;"SOLIMOES";-85;;"1999";487;-70;800;"80%-90%";;;;;
10500000;-4,341;-70,906;61400;"ESTIRÃO DO REPOUSO";2025-10-29 08:45:00;2025-10-29 07:45:00;2025-10-29 06:45:00;816;;;184;;1;62,6;"JAVARI";355;;"2019";881,5;307;1284;"30%-40%";;;;;
10910000;-4,584;-70,264;36900;"LADÁRIO - JUSANTE";2025-10-29 19:45:00;2025-10-29 18:45:00;2025-10-29 17:45:00;805;-5;;;;0,4;24,2;"ITACUAI";719;;"2001";943;696;1399;"20%-30%";;;;;
11400000;-3,457;-68,912;1010000;"SÃO PAULO DE OLIVENÇA";2025-10-24 10:00:00;2025-10-24 09:00:00;2025-10-24 08:00:00;758;;;;180;0;0;"SOLIMÕES";96;;"2015";670,5;99;1039;"60%-70%";;;;;
12240000;-3,337;-67,492;64400;"PORTO SEGURO";2025-10-05 08:45:00;2025-10-05 07:45:00;2025-10-05 06:45:00;823;;;;;0;0;"JUTAÍ";728;;"2015";979;722;1176;"0%-10%";;;;;
12351000;-2,491;-66,062;1220000;"Fonte Boa";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;1477;8;37;63;81;0,2;10,8;"SOLIMOES";784;;"2015";1368;778;1707;"70%-80%";;;;;
12500000;-7,633;-72,66;37800;"Cruzeiro do Sul";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;518;17;-25;60;19;32,8;56,4;"JURUÁ";508;;"2009";546;286;983;"40%-50%";;1000;1180;1300;"Normal"
12520000;-7,056;-71,689;56100;"IPIXUNA";2025-09-30 10:45:00;2025-09-30 09:45:00;2025-09-30 08:45:00;394;;;;75;0;0;"JURUÁ";;;"1986";526;260;912;"10%-20%";;;;;
12590000;-8,152;-70,746;8770;"PONTE DE TARAUACÁ";2025-10-29 21:00:00;2025-10-29 20:00:00;2025-10-29 19:00:00;425;30;47;117;99;0;0,6;"TARAUACÁ";401;;"2017";411,5;337;853;"50%-62%";;;;;
12650000;-8,164;-70,356;17000;"Feijó";2025-06-09 19:00:00;2025-06-09 18:00:00;2025-06-09 17:00:00;487;18;-67;-132;-31;0;0;"FEIJÓ";420;;"2021";534;348;993;"20%-30%";;1200;1350;1400;"Normal"
