"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"41340000";"Ponte Raul Soares";2025-11-13 16:00:00;2025-11-13 15:00:00;2025-11-13 14:00:00;45;-11;-22;9;12;0;0;"DAS VELHAS";89;;"2022";128;20;330;"0%-10%";
"41410000";"Jequitibá";2025-11-13 16:00:00;2025-11-13 15:00:00;2025-11-13 14:00:00;76;-8;-9;20;19;0;2,6;"DAS VELHAS";;;"2022";122,5;47;411;"0%-10%";
"41650002";"Ponto do Licínio";2025-11-13 16:00:00;2025-11-13 15:00:00;2025-11-13 14:00:00;152;-14;-24;19;12;0;10,6;"DAS VELHAS";186;;"2022";172;135;589;"20%-30%";
"41780002";"Presidente Juscelino";2025-11-13 16:15:00;2025-11-13 15:15:00;2025-11-13 14:15:00;63;-3;15;19;;0;18,4;"PARAUNA";79;;"2020";87;36;233;"20%-30%";
"41818000";"Santo Hipólito";2025-11-07 20:45:00;2025-11-07 19:45:00;2025-11-07 18:45:00;102;20;;;;0;0;"DAS VELHAS";177;;"2020";142;58;482;"20%-30%";
"44200000";"São Francisco";2025-11-13 16:15:00;2025-11-13 15:15:00;2025-11-13 14:15:00;245;4;71;68;66;0;7,6;"SÃO FRANCISCO";287;;"1992";325;154;770;"10%-20%";
"45298000";"Carinhanha";2025-11-13 15:30:00;2025-11-13 14:30:00;2025-11-13 13:30:00;135;2;34;30;31;0;1,2;"SÃO FRANCISCO";202;;"1979";256;82;681;"0%-10%";
"45480000";"Bom Jesus da Lapa";2025-11-13 15:30:00;2025-11-13 14:30:00;2025-11-13 13:30:00;297;6;37;27;28;0,2;16;"SÃO FRANCISCO";367;;"1979";414;251;781;"10%-20%";
"45960001";"Porto Novo";2025-11-13 16:00:00;2025-11-13 15:00:00;2025-11-13 14:00:00;55;-2;28;31;15;0;0;"CORRENTE";108;;"2016";150;46;284;"0%-10%";
"46675000";"Fazenda Macambira";2024-11-28 10:00:00;2024-11-28 09:00:00;2024-11-28 08:00:00;221;4;18;57;70;0;0;"GRANDE";154;;"2021";198;59;304;"60%-70%";
"46902000";"Boqueirão";2025-11-13 16:15:00;2025-11-13 15:15:00;2025-11-13 14:15:00;52;1;30;17;29;0;0,4;"GRANDE";83;;"1980";109;18;180;"0%-10%";
"46998000";"Barra";2025-11-13 15:30:00;2025-11-13 14:30:00;2025-11-13 13:30:00;143;-1;7;4;27;0;0;"SÃO FRANCISCO";249;;"1926";180;117;375;"33%-44%";
